,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
1270,5.0,7,3,4,1,9,244,8.777777777777779,27.11111111111111,16,14,2,2,15,4,0,22.0,29.75,23.06949404761905,30.37931547619048,Exam2017_EGe_33_1.txt,1,1
1272,4.818181818181818,8,3,6,7,11,241,8.727272727272727,21.90909090909091,15,7,8,1,15,7,0,17.8,22.7,19.19531746031746,24.43373015873016,Exam2017_ESa_24_1.txt,1,1
1273,4.363636363636363,6,3,4,3,11,247,6.909090909090909,22.454545454545453,15,11,4,2,7,2,0,18.5,24.3,19.227341269841272,24.744166666666665,Exam2014_VPe_18_1.txt,1,1
1274,3.0909090909090917,5,0,1,3,11,202,3.5454545454545454,18.363636363636363,16,13,3,3,12,0,0,13.6,17.8,16.677261904761902,20.939285714285717,Exam2017_ABl_7_1.txt,2,1
1276,4.583333333333333,7,3,1,2,12,261,11.25,21.75,21,19,2,4,7,0,0,15.0,19.272727272727277,16.202118588482225,20.15303686212777,Exam2017_EGe_247_1.txt,3,1
1277,3.75,5,3,0,0,12,215,6.833333333333332,17.916666666666668,16,16,0,10,14,0,0,14.454545454545457,17.636363636363637,14.320903843631116,17.07407188770825,Exam2017_MPa_75_1.txt,3,1
1279,3.5,5,2,1,1,10,181,8.0,18.1,15,14,1,9,18,0,0,17.666666666666668,22.0,17.465828924162256,21.728659611992946,Exam2017_DOv_8_1.txt,5,1
1280,3.636363636363636,5,3,1,5,11,201,7.636363636363638,18.272727272727277,14,11,3,2,7,2,0,13.9,18.2,14.512222222222224,18.642936507936508,Exam2017_ESa_9_1.txt,1,1
1281,7.888888888888888,12,4,10,5,9,275,2.333333333333333,30.55555555555556,10,5,5,13,11,6,2,23.625,30.0,24.940922619047623,32.13333333333333,Exam2016_EKu_86_1.txt,1,1
1282,4.714285714285714,9,2,9,0,14,189,2.2857142857142856,13.5,17,14,3,6,9,11,0,11.538461538461537,14.384615384615383,9.967787767787769,13.54697225851072,Exam2017_OBy_197_1.txt,7,1
1284,6.2,9,4,6,3,5,185,7.8,37.0,14,10,4,2,7,6,0,36.75,44.5,37.8125,45.41666666666666,Exam2016_JSl_128_1.txt,1,1
1285,3.7777777777777777,5,3,1,2,9,171,3.7777777777777777,19.0,11,10,1,7,3,0,1,14.25,18.75,14.035863095238096,18.30699404761905,Exam2019_EEr_113_1.txt,2,1
1286,5.625,9,4,2,3,8,224,6.625,28.0,16,10,6,2,5,0,2,19.571428571428573,26.85714285714285,21.074489795918367,28.391156462585037,Exam2019_ABu_37_1.txt,3,1
1287,4.5,8,3,1,3,10,207,7.1,20.7,16,11,5,2,14,0,0,17.11111111111111,21.777777777777786,20.758553791887127,26.162389770723102,Exam2014_EZa_94_1.txt,3,1
1288,4.333333333333333,6,3,2,4,9,168,7.0,18.666666666666668,16,10,6,3,11,1,0,17.875,22.0,16.566815476190474,20.802380952380947,Exam2017_MPa_43_1.txt,1,1
1289,3.6875,5,2,4,4,16,299,6.5625,18.6875,22,20,2,4,14,0,3,15.0,18.73333333333333,16.043440633440632,20.10993598993599,Exam2014_TSha_15_1.txt,5,1
1290,4.4,7,2,0,0,10,253,6.1,25.3,15,12,3,7,7,0,1,21.66666666666667,27.55555555555556,20.29210758377425,26.132671957671963,Exam2016_MTsy_22_1.txt,1,1
1291,4.666666666666667,7,2,2,1,6,196,6.833333333333332,32.666666666666664,10,8,2,5,5,2,1,26.6,32.2,29.25333333333333,35.67,Exam2016_OR_63_1.txt,4,1
1292,5.454545454545454,6,4,0,2,11,240,8.272727272727273,21.818181818181817,14,13,1,9,16,1,0,16.8,22.3,16.761746031746032,22.750634920634923,Exam2017_ESa_44_1.txt,1,1
